id	labels	source	female translation	male translation	neutral translation	variants	all gender neutral pronouns
1.68648E+12	401977;1 AGME;Positive 1;target_only_gendered_pronoun	من و او  هم سن هستیم.	She and I are the same age.	He and I are the same age.	They and I are the same age.		They and I are the same age.
1.68648E+12	401979;1 AGME;Positive 1;target_only_gendered_pronoun	من به اندازه‌ی اون پیر(بزرگ) هستم.	I'm as old as she is.	I'm as old as he is.	I'm as old as they are.		I'm as old as they are.
1.68648E+12	401980;target_only_gendered_pronoun;Positive 1;1 AGME	او مرا نادیده گرفت حتی زمانی که مرا در خیابان دید.	She ignored me even when she saw me on the street.	He ignored me even when he saw me on the street.	They ignored me even when they saw me on the street.		They ignored me even when they saw me on the street.
1.68648E+12	402865;1 AGME;target_only_gendered_pronoun;Positive 1	دکتر خوبی کسی است که به راهنمایی‌های خودش عمل کند.	A good doctor is one who follows her own directions.	A good doctor is one who follows his own directions.	A good doctor is one who follows their own directions.		A good doctor is one who follows their own directions.
1.68648E+12	506686;Negative 1B;0 AGMEs;source+target_gendered_noun	خواهرت الان چه کار می‌کند؟			What is your sister doing now?		What is your sister doing now?
1.68648E+12	506747;Positive 1;target_only_gendered_pronoun;1 AGME	من بی درنگ به او تلفن کردم.	I called her at once.	I called him at once.	I called them at once.		I called them at once.
1.68648E+12	507968;target_only_gendered_pronoun;1 AGME;Positive 1	این حقیقت که او دغل کار است، بر کسی پنهان نیست.	There's no disguising the fact that she is dishonest.	There's no disguising the fact that he is dishonest.	There's no disguising the fact that they are dishonest.		There's no disguising the fact that they are dishonest.
1.68648E+12	507974;Negative 1B;0 AGMEs;source+target_gendered_noun	من هیچ برادری ندارم.			I don't have any brothers.		I don't have any brothers.
1.68648E+12	509105;target_only_gendered_pronoun;1 AGME;Positive 1	او سعی کرد یک چادر پیدا کند اما نتوانست آنچه را که می‌خواست بیابد.	She tried to find a tent, but she couldn't find the one she wanted.	He tried to find a tent, but he couldn't find the one he wanted.	They tried to find a tent, but they couldn't find the one they wanted.		They tried to find a tent, but they couldn't find the one they wanted.
1.68648E+12	509106;target_only_gendered_pronoun;1 AGME;Positive 1	جشن تولدش فردا عصر برگزار میشه.	Her birthday party will be tomorrow evening.	His birthday party will be tomorrow evening.	Their birthday party will be tomorrow evening.		Their birthday party will be tomorrow evening.
1.68648E+12	509108;target_only_gendered_pronoun;Positive 1;1 AGME	دست چپش شکست.	She broke her left arm.	He broke his left arm.	They broke their left arm.		They broke their left arm.
1.68648E+12	509115;0 AGMEs;Negative 1B;source+target_gendered_noun	مشکلی نظیر این را تصور کنید: فرض کنید  برادرتان با اتومبیل تصادف کرده است			Imagine a problem such as this: Suppose your brother has a car accident.		Imagine a problem such as this: Suppose your brother has a car accident.
1.68648E+12	509580;target_only_gendered_pronoun;1 AGME;Positive 1	یک کاپیتان مسئول کشتی و خدمه آن است.	A captain is in charge of her ship and its crew.	A captain is in charge of his ship and its crew.	A captain is in charge of their ship and its crew.		A captain is in charge of their ship and its crew.
1.68648E+12	509585;target_only_gendered_pronoun;1 AGME;Positive 1	ابتدا از او خوشم نمی‌آمد ولی حالا چرا.	At first I did not like her, but now I do.	At first I did not like him, but now I do.	At first I did not like them, but now I do.		At first I did not like them, but now I do.
1.68648E+12	509650;source+target_gendered_noun;Negative 1B;1 AGME	تشخیص دادن تو از برادرت دشوار است.			It's hard to tell you from your brother.		It's hard to tell you from your brother.
1.68648E+12	510453;target_only_gendered_pronoun;1 AGME;Positive 1	من فکر می‌کنم که او یک رقصنده خوب است.	I think she is a good dancer.	I think he is a good dancer.	I think they are a good dancer.		I think they are a good dancer.
1.68648E+12	510455;target_only_gendered_pronoun;1 AGME;Positive 1	او در صبح 15 می‌آمد تا مرا ببیند.	She came to see me on the morning of May 15.	He came to see me on the morning of May 15.	They came to see me on the morning of May 15.		They came to see me on the morning of May 15.
1.68648E+12	510458;Negative 1B;source+target_gendered_noun;0 AGMEs	مادر بزرگم نمی‌تواند خیلی خوب ببیند.			My grandmother can't see very well.		My grandmother can't see very well.
1.68648E+12	510459;Positive 1;target_only_gendered_pronoun;1 AGME	دوستش یک خواننده است.	Her friend is a singer.	His friend is a singer.	Their friend is a singer.		Their friend is a singer.
1.68648E+12	510474;Positive 1;target_only_gendered_pronoun;1 AGME	این خودکارها مال او هستند.	These pens are hers.	These pens are his.	These pens are theirs.		These pens are theirs.
1.68648E+12	510480;name;0 AGMEs;Negative 1B;source+target_gendered_noun	ای کاش تام برادر کوچکتر من بود.			I wish Tom were my younger brother.		I wish Tom were my younger brother.
1.68648E+12	510488;Positive 1;target_only_gendered_pronoun;1 AGME	او یکی از معروفترین خوانندگان در ژاپن است.	She is one of the most famous singers in Japan.	He is one of the most famous singers in Japan.	They are one of the most famous singers in Japan.		They are one of the most famous singers in Japan.
