id	labels	source	female translation	male translation	neutral translation	variants	all gender neutral pronouns
1.68556E+12	335573;Positive 1;1 AGME;target_only_gendered_pronoun	Hän huomasi soutuveneen kaukaisuudessa.	She caught sight of a rowing boat in the distance.	He caught sight of a rowing boat in the distance.	They caught sight of a rowing boat in the distance.		They caught sight of a rowing boat in the distance.
1.68556E+12	335600;Positive 1;1 AGME;target_only_gendered_pronoun	Meidän täytyy odottaa häntä.	We have to wait for her.	We have to wait for him.	We have to wait for them.		We have to wait for them.
1.68556E+12	335601;Positive 1;1 AGME;target_only_gendered_pronoun	Hänet erotettiin virastaan, koska hän oli laiskuri.	She was removed from her post because she was idle.	He was removed from his post because he was idle.	They were removed from their post because they were idle.		They were removed from their post because they were idle.
1.68556E+12	335617;Positive 1;1 AGME;target_only_gendered_pronoun	Hän aloitti maailmanympärimatkansa purjeveneellään.	She started her voyage around the world in her sailboat.	He started his voyage around the world in his sailboat.	They started their voyage around the world in their sailboat.		They started their voyage around the world in their sailboat.
1.68656E+12	335646;1 AGME;Mixed;source+target_gendered_noun;target_only_gendered_pronoun	Hän rakastaa autoja kun taas hänen veljensä vihaa niitä.	She loves cars, while her brother hates them.	He loves cars, while his brother hates them.	They love cars, while their brother hates them.		They love cars, while their brother hates them.
1.68566E+12	335668;0 AGMEs;source+target_gendered_noun;Negative 2B	Minulla on kolme koiraa, joista yksi on uros ja kaksi muuta narttuja.			I have three dogs, one of which is male and the other two are female.		I have three dogs, one of which is male and the other two are female.
1.68556E+12	335687;Positive 1;1 AGME;target_only_gendered_pronoun	Hän tyhjensi lasinsa.	She emptied her glass.	He emptied his glass.	They emptied their glass.		They emptied their glass.
1.68556E+12	354125;Negative 1B;0 AGMEs;source+target_gendered_noun	Oudon näköistä naista luultiin noidaksi.			The strange-looking woman was thought to be a witch.		The strange-looking woman was thought to be a witch.
1.68556E+12	354131;Positive 1;1 AGME;target_only_gendered_pronoun	Arvasin hänen olevan neljäkymmentävuotias.	I guessed her to be 40.	I guessed him to be 40.	I guessed them to be 40.		I guessed them to be 40.
1.68556E+12	354156;Positive 1;1 AGME;target_only_gendered_pronoun	Hän tulee hyvin toimeen työntekijöidensä kanssa.	She is getting along well with her employees.	He is getting along well with his employees.	They are getting along well with their employees.		They are getting along well with their employees.
1.68556E+12	354200;Positive 1;1 AGME;target_only_gendered_pronoun	Kun pääsin hänen talolleen, hänet oli jo viety pois.	When I got to her house, she had already been taken away.	When I got to his house, he had already been taken away.	When I got to their house, they had already been taken away.		When I got to their house, they had already been taken away.
1.68556E+12	354208;Positive 1;1 AGME;target_only_gendered_pronoun	Hän oli jälleen poissa koulusta.	She was absent from school today, as is often the case with her.	He was absent from school today, as is often the case with him.	They were absent from school today, as is often the case with them.		They were absent from school today, as is often the case with them.
1.68556E+12	354215;Positive 1;1 AGME;target_only_gendered_pronoun	Hän kirjoittaa kauniita runoja.	She composes beautiful poems.	He composes beautiful poems.	They compose beautiful poems.		They compose beautiful poems.
