id	labels	source	female translation	male translation	neutral translation	variants	full neutral translation	note
1686301221640	Positive 1;1 AGME;target_only_gendered_pronoun	Ha megmondta volna nekem az igazat, most nem lennék ideges.	Had she told me the truth in the first place, I wouldn't be angry now.	Had he told me the truth in the first place, I wouldn't be angry now.	Had they told me the truth in the first place, I wouldn't be angry now.		Had they told me the truth in the first place, I wouldn't be angry now.	
1686301314412	Positive 1;target_only_gendered_pronoun;1 AGME	Ő intelligensebb, mint a többiek.	She's brighter than the others are.	He's brighter than the others are.	They're brighter than the others are.		They're brighter than the others are.	
1686443592205	Negative 1;source+target_gendered_noun; 0 AGMEs	A kertben kisasszonnyal sétálok.			I'm walking with a young lady in the garden.		I'm walking with a young lady in the garden.	no pronoun
1686443382140	Positive 1;target_only_gendered_pronoun;1 AGME	A házába csapott a villám.	Lightning struck her house.	Lightning struck his house.	Lightning struck their house.		Lightning struck their house.	
1686953783991	Negative 2A;source+target_gendered_noun;source+target_gendered_noun+pronoun;0 AGMEs;non-AGME-name;multi	Béla minden nap elkíséri fiát az iskolába, mert ő nagyon gondos apa.			Béla takes his son to school every day, because he is a mindful father.		Béla takes their son to school every day, because they are a mindful father.	
1686443750483	target_only_gendered_noun+pronoun;1 AGME;Positive 4	Az az illető megkérdezte, ki vagyok, de nem véltem szükségesnek válaszolni neki.	That woman asked me who I was, but I did not deem it necessary to answer her.	That man asked me who I was, but I did not deem it necessary to answer him.	That person asked me who I was, but I did not deem it necessary to answer them.		That person asked me who I was, but I did not deem it necessary to answer them.	
1689085955117	Mixed;target_only_gendered_pronoun;1 AGME;multi;source+target_gendered_noun+pronoun	Teljes joggal büszke az apjára, aki keményen dolgozott egész életében.	She has every right to be proud of her father, who has worked hard all his life.	He has every right to be proud of his father, who has worked hard all his life.	They have every right to be proud of their father, who has worked hard all his life.		They have every right to be proud of their father, who has worked hard all their life.	
1686444028510	name;2 AGMEs;Positive 5;multi;target_only_gendered_noun;target_only_gendered_pronoun	A bizonyíték, hogy Harrison nem paródiának szánta ezt a művet, Evansnak írt levelében található.	Evidence that Harrison did not intend this work to be a parody can be seen in her letter to Mrs. Evans.	Evidence that Harrison did not intend this work to be a parody can be seen in his letter to Mr. Evans.	Evidence that Harrison did not intend this work to be a parody can be seen in their letter to Evans.	Evidence that Harrison did not intend this work to be a parody can be seen in their letter to Mr. Evans.|Evidence that Harrison did not intend this work to be a parody can be seen in their letter to Mrs. Evans.|Evidence that Harrison did not intend this work to be a parody can be seen in her letter to Mr. Evans.|Evidence that Harrison did not intend this work to be a parody can be seen in her letter to Evans.|Evidence that Harrison did not intend this work to be a parody can be seen in his letter to Mrs. Evans.|Evidence that Harrison did not intend this work to be a parody can be seen in his letter to Evans.	Evidence that Harrison did not intend this work to be a parody can be seen in their letter to Evans.	
1686445093276	Positive 5;name;2 AGMEs;multi;target_only_gendered_pronoun	A bíró egy év börtönbüntetésre ítélte Markot, mert meg volt győződve a bűnösségéről.	The judge sentenced Mark to a year in prison because she was convinced of her guilt.	The judge sentenced Mark to a year in prison because he was convinced of his guilt.	The judge sentenced Mark to a year in prison because they were convinced of their guilt.	The judge sentenced Mark to a year in prison because she was convinced of his guilt.|The judge sentenced Mark to a year in prison because she was convinced of their guilt.|The judge sentenced Mark to a year in prison because he was convinced of her guilt.|The judge sentenced Mark to a year in prison because he was convinced of their guilt.|The judge sentenced Mark to a year in prison because they were convinced of his guilt.|The judge sentenced Mark to a year in prison because they were convinced of her guilt.	The judge sentenced Mark to a year in prison because they were convinced of their guilt.	
1689086232283	1 AGME;Mixed;target_only_gendered_pronoun;multi;source+target_gendered_noun+pronoun	A felesége az olasztanárunk és az osztály nagyon szereti.	Her wife is our Italian teacher and the class loves her very much.	His wife is our Italian teacher and the class loves her very much.	Their wife is our Italian teacher and the class loves her very much.		Their wife is our Italian teacher and the class loves them very much.	
