id	labels	source	female translation	male translation	neutral translation	variants	all gender neutral pronouns
1685990000000	497516;0 AGMEs;Negative 1B;source+target_gendered_noun	Kız hasta görünüyordu.			The girl appeared sick.		The girl appeared sick.
1685990000000	497513;0 AGMEs;Negative 1B;source+target_gendered_noun	Kız ağlamaktan başka bir şey yapmadı.			The girl did nothing but cry.		The girl did nothing but cry.
1685990000000	497512;source+target_gendered_noun;0 AGMEs;Negative 1B	Kızın altın saçı var.			The girl has golden hair.		The girl has golden hair.
1685990000000	370978;1 AGME;target_only_gendered_pronoun;Positive 1	Onu tanıdıkça daha çok seversin.	The more you know about her, the more you like her.	The more you know about him, the more you like him.	The more you know about them, the more you like them.		The more you know about them, the more you like them.
1685990000000	487321;0 AGMEs;source+target_gendered_noun;Negative 1B	Kadın bir portakal yiyor.			The woman eats an orange.		The woman eats an orange.
1685990000000	585571;Positive 1;1 AGME;target_only_gendered_pronoun	Onun bisikleti benimkinden daha iyi.	Her bike is better than mine.	His bike is better than mine.	Their bike is better than mine.		Their bike is better than mine.
1685990000000	531504;1 AGME;target_only_gendered_pronoun;Positive 1	Onun görme yeteneği kötü.	Her eyesight is bad.	His eyesight is bad.	Their eyesight is bad.		Their eyesight is bad.
1685990000000	480736;Negative 1A;source+target_gendered_noun+pronoun;0 AGMEs	O sağlam genç bir adam.			He is a robust young man.		They are a robust young man.
1685990000000	478370;target_only_gendered_pronoun;1 AGME;Positive 1	O bir arı kadar meşguldür.	She is as busy as a bee.	He is as busy as a bee.	They are as busy as a bee.		They are as busy as a bee.
1685990000000	489555;1 AGME;target_only_gendered_pronoun;Positive 1	O, İngiltere'den geliyor.	She is coming from England.	He is coming from England.	They are coming from England.		They are coming from England.
1685990000000	585560;Positive 1;target_only_gendered_pronoun;1 AGME	O, Fransızdır.	She is French.	He is French.	They are French.		They are French.
1685990000000	479308;1 AGME;target_only_gendered_pronoun;Positive 1	Pencereyi açıyor.	She is opening the window.	He is opening the window.	They are opening the window.		They are opening the window.
1685990000000	585572;1 AGME;target_only_gendered_pronoun;Positive 1	O çok kibardır.	She is very kind.	He is very kind.	They are very kind.		They are very kind.
1685990000000	522712;1 AGME;target_only_gendered_pronoun;Positive 1	O çok düşünceli ve sabırlı.	She is very thoughtful and patient.	He is very thoughtful and patient.	They are very thoughtful and patient.		They are very thoughtful and patient.
1685990000000	479151;1 AGME;target_only_gendered_pronoun;Positive 1	O, kapıyı kapattı.	She closed the door.	He closed the door.	They closed the door.		They closed the door.
1685990000000	478376;1 AGME;target_only_gendered_pronoun;Positive 1	O çok iyi yemek yapar.	She cooks very well.	He cooks very well.	They cook very well.		They cook very well.
1685990000000	480804;source+target_gendered_noun+pronoun;Mixed;1 AGME;target_only_gendered_pronoun	O benim kız kardeşimi oyuncaklarından etti.	She deprived my little sister of all her toys.	He deprived my little sister of all her toys.	They deprived my little sister of all her toys.		They deprived my little sister of all their toys.
1685990000000	528584;1 AGME;target_only_gendered_pronoun;Positive 1	O, spor salonuna yürümedi.	She did not walk to the gym.	He did not walk to the gym.	They did not walk to the gym.		They did not walk to the gym.
1685990000000	474017;1 AGME;target_only_gendered_pronoun;Positive 1	O bu evleri kimin yaptığını bilmiyor.	She doesn't know who built those houses.	He doesn't know who built those houses.	They don't know who built those houses.		They don't know who built those houses.
1685990000000	495100;target_only_gendered_pronoun;1 AGME;Positive 1	O, parti için giyindi.	She dressed up for the party.	He dressed up for the party.	They dressed up for the party.		They dressed up for the party.
1685990000000	585575;1 AGME;target_only_gendered_pronoun;Positive 1	Onun mavi gözleri var.	She has blue eyes.	He has blue eyes.	They have blue eyes.		They have blue eyes.
1685990000000	487288;1 AGME;target_only_gendered_pronoun;Positive 1	O okulunu çok seviyor.	She likes her school a lot.	He likes his school a lot.	They like their school a lot.		They like their school a lot.
1685990000000	480910;1 AGME;target_only_gendered_pronoun;Mixed;source+target_gendered_noun	Tıpkı annesine benziyor.	She looks just like her mother.	He looks just like his mother.	They look just like their mother.		They look just like their mother.
1685990000000	479187;1 AGME;target_only_gendered_pronoun;Positive 1	O çok iyi oynuyor.	She plays very well.	He plays very well.	They play very well.		They play very well.
1685990000000	492712;1 AGME;target_only_gendered_pronoun;Positive 1	İstasyona saat yedide ulaştı.	She reached the station at 7 o'clock.	He reached the station at 7 o'clock.	They reached the station at 7 o'clock.		They reached the station at 7 o'clock.
1685990000000	480675;1 AGME;target_only_gendered_pronoun;Positive 1	O oldukça güzel söyledi.	She sang pretty well.	He sang pretty well.	They sang pretty well.		They sang pretty well.
1685990000000	496114;1 AGME;target_only_gendered_pronoun;Positive 1	O, üç hafta New York'ta kaldı.	She stayed in New York for three weeks.	He stayed in New York for three weeks.	They stayed in New York for three weeks.		They stayed in New York for three weeks.
1685990000000	522667;1 AGME;target_only_gendered_pronoun;Positive 1	O, toprağı suladı.	She watered the soil.	He watered the soil.	They watered the soil.		They watered the soil.
1685990000000	523631;1 AGME;target_only_gendered_pronoun;Positive 1	O tümüyle siyah giyindi.	She was dressed all in black.	He was dressed all in black.	They were dressed all in black.		They were dressed all in black.
1685990000000	488754;target_only_gendered_pronoun;1 AGME;Positive 1	O iki hafta New York'ta olacak.	She will be in New York for two weeks.	He will be in New York for two weeks.	They will be in New York for two weeks.		They will be in New York for two weeks.
1685990000000	486270;1 AGME;Mixed;source+target_gendered_noun;target_only_gendered_noun	Bu çocuğun annesi bir sunucu.	This boy's mother is an announcer.	This girl's mother is an announcer.	This child's mother is an announcer.		This child's mother is an announcer.
1685990000000	480729;1 AGME;target_only_gendered_pronoun;Positive 1	Onun ne de çok kitabı var!	What a lot of books she has!	What a lot of books he has!	What a lot of books they have!		What a lot of books they have!
1685990000000	475054;1 AGME;target_only_gendered_pronoun;Positive 1	O çalışırken bir kaza yaptı.	While working, she had an accident.	While working, he had an accident.	While working, they had an accident.		While working, they had an accident.
1685990000000	479161;1 AGME;target_only_gendered_pronoun;Positive 1	Neden o orada?	Why is she there?	Why is he there?	Why are they there?		Why are they there?
1685990000000	528841;1 AGME;target_only_gendered_pronoun;Positive 1	Onun saldırgan olduğunu herkes biliyordu.	Everybody knew that she was being pushy.	Everybody knew that he was being pushy.	Everybody knew that they were being pushy.		Everybody knew that they were being pushy.
